Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00        7     0.00     0.00  MatrixOperationBatchTester::parseInteger(std::string)
  0.00      0.01     0.00        7     0.00     0.00  std::fpos<__mbstate_t>::operator long long() const
  0.00      0.01     0.00        6     0.00     0.00  std::pair<std::string, std::string>::first_type& std::_Select1st<std::pair<std::string const, std::string> >::operator()<std::pair<std::string, std::string> >(std::pair<std::string, std::string>&) const
  0.00      0.01     0.00        6     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::end()
  0.00      0.01     0.00        6     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::string const, std::string> >*, std::_Rb_tree_node<std::pair<std::string const, std::string> >*, std::string const&)
  0.00      0.01     0.00        5     0.00     0.00  Matrix<double>::Matrix()
  0.00      0.01     0.00        4     0.00     0.00  Matrix<double>::setDimensions(int, int)
  0.00      0.01     0.00        4     0.00     0.00  Options::parseOption(std::string)
  0.00      0.01     0.00        4     0.00     0.00  Options::get(std::string)
  0.00      0.01     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::string>::new_allocator()
  0.00      0.01     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::string>::~new_allocator()
  0.00      0.01     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::deallocate(std::_Rb_tree_node<std::pair<std::string const, std::string> >*, unsigned int)
  0.00      0.01     0.00        4     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::destroy<std::_Rb_tree_node<std::pair<std::string const, std::string> > >(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      0.01     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::allocate(unsigned int, void const*)
